student id,EnrollmentYear ,EXAM_year, UniversityName,Home-City,major ,GENDER,ScholarshipStatus,SocioEconomic_status,PartTime job,StudyHours/Week,Tutoring_Hours_per_week,attendance rate,SleepHours,priorGPA,examScore 
TR00062,2016,2016,METU,Adana,Engineering,Female,No,Low,Yes,21.4,5.6,0.766,5.93,2.64,100.0
TR00063,NA,2016,METU,Samsun,Psychology,Male,No,Low,Yes,13.6,0.3,0.66,6.87,2.15,74.5
TR00064,2015,2015,Bilkent University,Mersin,Engineering,Male,No,Low,No,26.5,5.8,0.754,7.17,3.14,100.0
TR00065,2015,2016,Koc University!,Eskisehir,Law,Female,No,High,No,12.3,3.0,0.651,7.09,1.96,67.1
TR00066,2016,2019,Bilkent University,Izmir,Business,Male,No,Middle,Yes,8.1,0.0,0.776,6.26,1.99,67.2
TR00067,2015,2016,Koc University,Izmir,Computer Science,FEMALE,No,Middle,Yes,27.2,2.2,0.776,6.6,2.68,100.0
TR00068,2015,2018,Ege University,Istanbul,Economics,Male,Yes,Middle,No,30.8,4.0,0.982,4.99,2.48,100.0
TR00069,2017,2018,Koc University,Konya,Psychology,Female,No,Middle,No,17.2,0.0,0.85,6.77,3.59,93.0
TR00070,2017,2021,Dokuz Eylul University,Antalya,Computer Science,Male,No,Middle,No,33.7,4.8,0.776,7.21,2.88,100.0
TR00071,2017,2018,Hacettepe University,Bursa,Computer Science, Female,No,Middle,No,17.6,4.0,0.804,7.74,2.48,84.8
TR00072,2019,2021,Bogazici University,Eskisehir,Education,Male,No,Middle,No,13.2,1.8,0.859,4.14,3.02,90.7
TR00073,2016,2018,Bogazici University,Bursa,Education,Female,No,High,No,23.9,NA,0.838,6.67,3.43,100.0
TR00074,2017,2019,Gazi University,Diyarbakir ,Engineering,Male,No,High,No,28.4,5.8,0.866,7.17,3.11,100.0
TR00075,2019,2021,Ankara University,Bursa,Economics,Male,Yes,High,Yes,26.0,4.8,0.82,5.57,3.02,100.0
TR00076,2015,2017,Hacettepe University,Adana,Architecture,Male,No,Middle,No,23.6,1.0,0.8,6.53,2.4,85.2
TR00077,2016,2020,Yildiz Technical University,Gaziantep,Engineering,Male,No,Middle,No,17.9,3.8,0.777,7.97,2.99,89.0
TR00078,2015,2015,METU,Gaziantep,Computer Science,Male,No,Middle,No ,22.3,5.6,0.773,6.48,3.43,100.0
TR00079,2017,2018,Istanbul University,Antalya,Statistics,Female,No,High,No,27.4,0.9,0.746,8.0,2.83,82.7
TR00080,2015,2016,ITU,Adana ,Engineering,Female,No,Low,No,21.6,3.8,0.733,6.3,2.25,79.2
TR00081,2016,2018,Ege University,Bursa,Computer Science,Female,No,Middle,No,20.5,4.2,0.967,8.05,3.0,100.0
TR00082,2016,2016,ANKARA UNIVERSITY,Samsun,Business,Male,Yes,Low,Yes,15.3,0.0,0.8,6.86,2.71,82.4
TR00083,2016,2020,Ankara University,Diyarbakir,Law,Male,No,Middle,NO,16.6,3.1,0.808,6.34,2.2,89.7
TR00084,2017,2020,Dokuz Eylul University,Mersin,Engineering,Female,Yes,Middle,No,25.8,1.1,0.8,7.9,2.67,96.6
TR00085,2019,2020,Ankara University,Trabzon,Engineering,Male, Yes,Middle#,No,24.4,3.1,0.854,5.84,3.67,100.0
TR00086,2016,2016,METU,Kayseri,Computer Science,Male,Yes,Low,No,18.5,5.0,0.936,6.35,2.21,85.6
TR00087,2018,2018,METU,Gaziantep,Education,Male,No,Middle,No,21.1,0.0,0.878,7.3,2.63,91.8
TR00088,2019,2020,ITU,Eskisehir,Education,Female,NO,High,Yes,16.9,2.1,0.844,6.85,2.5,80.1
TR00089,2016,2019,Koc University,Samsun!,Law,Female,Yes,Low,Yes,14.5,5.7,0.743,7.07,2.22,80.7
TR00090,2021,2021,Yildiz Technical University,Eskisehir,Engineering,Male ,No,Middle, No,24.3,1.9,0.82,6.52,2.64,90.5
TR00091,2016,2016,Hacettepe University,Istanbul ,Computer Science,Male,Yes,Middle,No,19.8,3.5,0.794,5.99,3.02,90.2
TR00092,2015,2016,Ankara University,Ankara,Medicine,Female,No,High,Yes,21.6,5.4,0.779,6.12,3.39,99.8
TR00093,2015,2018,Bogazici University,Kayseri,Architecture,Male,Yes,Low, No,11.0,0.1,0.942,8.27,2.81,87.2
TR00094,2016,2016,Bilkent University,Gaziantep,Education,Male,No,High,No,11.5,2.0,0.855,6.13,2.55,84.9
TR00095,2015,2016,Dokuz Eylul University,DIYARBAKIR,Computer Science,Male,No,Middle,No!,17.7,4.2,0.95,8.33,3.56,100.0
TR00096,2019,2020,Dokuz Eylul University,Izmir,Architecture ,Male,No,High,No,22.7,2.8,0.797,7.11,1.98,82.1
TR00097,2016,2018,Bogazici University,Gaziantep,Engineering,Female,No,High,No,25.8,2.7,0.755,6.29,3.2,100.0
TR00098,2020,2020,Gazi University,Samsun,Computer Science,Female,No,Low,Yes,15.2,1.6,0.811,5.23,2.15,86.3
TR00099,2017,2021,Bogazici University,istanbul,NA,Male,Yes,Low,No,21.6,4.4,NA,5.39,2.8,100.0
TR00100,2020,2021,Gazi University, Eskisehir,Architecture,Female,No,Low,No,16.7,2.7,0.846,6.76,2.93,82.5
TR00101,2017,2020,Istanbul University,Bursa,Medicine,Female,No,Middle,No,29.2,2.1,0.834,6.28,2.15,90.2
TR00102,2020,2021,Bilkent University,Izmir,Computer Science,Female,No,Low,Yes,16.8,2.7,0.731,6.88,2.64,97.1
TR00103,NA,2018,Dokuz Eylul University,Adana,Psychology,Female,No,Low,Yes#,18.7,2.5,0.786,8.11,2.81,92.5
TR00104,2015,2015,Bogazici University,Konya,Engineering,Female,Yes,Middle,No,22.7,0.3,0.898,NA,3.54,100.0
TR00105,2018,2020,Istanbul University,Bursa!,Economics,Female,No,Low,No,18.3,2.2,0.906,6.89,3.99,100.0
TR00106,2018,2019,Koc University,Konya,Education,Female,No,Low,Yes,8.8,0.9,0.731,8.0,1.84,67.0
TR00107,2019,2019,Ege University,Kayseri,Business#,Female,Yes,Middle, No,14.6,3.3,0.858,7.22,3.48,99.3
TR00108,2015,2016,Hacettepe University,Mersin,Medicine,MALE,Yes,Low,Yes,36.4,1.1,0.908,7.48,2.98,100.0
TR00109,2018,2021,Istanbul University,Ankara,Medicine,Male,No,MIDDLE,Yes,24.4,5.0,0.733,6.02,2.36,91.6
TR00110,2018,2019,Hacettepe University,Mersin,Engineering,Male,No,Middle,Yes ,23.5,5.1,0.718,5.67,2.91,94.8
TR00111,2015,2016,Bogazici University,Izmir,Psychology,Female,Yes,MIDDLE,Yes,12.7,0.0,0.854,5.31,2.24,77.8
TR00112,2015,2015,Yildiz Technical University,Antalya,Law,Female,No,High,No,20.7,0.0,0.87,6.83,2.38,85.1
TR00113,2016,2018,Koc University,Izmir,Engineering,Male,No,Middle,No,28.2,5.7,0.753,5.71,2.06,89.4
TR00114,2015,2018,Istanbul University,Mersin,Economics,Male,No,Middle,No,16.1,0.2,0.708,6.06,2.92,96.2
TR00115,2015,2018,NA,Gaziantep,Economics ,Female,No,Middle,No,22.5,6.6,0.837,NA,3.02,100.0
TR00116,2019,2019,Bogazici University,Samsun,Engineering,Female,No,High,No,40.1,0.0,0.787,4.96,2.76,100.0
TR00117,2015,2015,Ankara University,Eskisehir,Business,Male,No#,High,No,18.4,1.3,0.685,7.07,3.48,85.7
TR00118,2015,2019,METU,Gaziantep,Economics,Female,No, High,No,28.3,1.4,0.765,6.62,2.69,94.3
TR00119,2017,2021,Istanbul University,Gaziantep,Economics, Female,No,Middle,Yes,19.3,1.3,0.818,6.79,3.39,100.0
TR00120,2016,2019,Bilkent University,Samsun,Computer Science,Male,Yes,Low,No,17.0,3.9,0.828,8.14,2.76,92.1
TR00121,2015,2015,Ege University,Samsun, Medicine,Male,No,Low,Yes,26.7,4.9,0.895,5.83,2.48,90.7
TR00122,2015,2015,Ankara University,Kayseri,Computer Science,Female,NO,Low,Yes,16.0,2.9,0.603,7.92,2.41,85.9
TR00123,2019,2021,Ege University,Bursa,Law,female,No,High, Yes,13.8,0.0,0.877,5.47,2.27,71.8
TR00124,2015,2015,Bogazici University,Antalya,Law,Male,No , Middle,Yes,14.6,3.5,0.742,7.37,2.76,94.2
TR00125,NA,2015,METU,Antalya,Computer Science,Female,No,Middle,Yes,17.1,3.6,0.731,7.96,2.69,87.9
TR00126,2015,2018,Istanbul University,Gaziantep,Law,Female,Yes,Middle,No,12.8,2.0,0.716,4.0,2.9,73.7
TR00127,2020,2021,Istanbul University,Konya,Psychology,Female,No,High,No,34.7,2.1,0.857,6.47,3.58,100.0
TR00128,2015,2017,Yildiz Technical University,Kayseri,Computer Science,Male!,No,Low,Yes,23.6,4.4,0.624,6.49,2.65,100.0
TR00129,2015,2017,Dokuz Eylul University,Diyarbakir,Law,Female,No,Low,No,20.3,1.2,0.885,6.99,2.1,82.6
TR00130,2015,2015,Yildiz Technical University,Gaziantep,Education,Male,No,Middle,No,14.5,1.9,0.699,8.47-,3.12,95.2
TR00131,2015,2017,Bogazici University,Ankara,Computer Science,Male,No,Middle,No ,29.0,1.7,0.712,6.06,2.85,100.0
TR00132,2017,2017,Bogazici University,Eskisehir,Economics,Male,Yes,Middle,No,30.3,2.9,0.745,5.68,2.12,98.9
TR00133,2015,2015,METU,Samsun,Medicine,Male,No,High,YES,29.1,3.0,0.713,6.48,3.0,NA
TR00134,2017,2017,Yildiz Technical University,Bursa,Engineering,Female,No,LOW,No,23.5,4.4,0.895,NA,2.96,99.5
TR00135,2018,NA,Bilkent University,Adana,Psychology,Female,No,Middle,No,26.4,0.6,0.94,7.19,2.89,100.0
TR00136,2015,2016,Bilkent University,Samsun,Computer Science,Female,No,Middle#,Yes,19.3,3.7,0.721,6.74,2.62,100.0
TR00137,2020,2021,METU,Ankara,Architecture,Female,NO,Low,Yes,22.0,1.0,0.766,6.45,2.43,80.9
TR00138,2015,2016,Koc University,Konya,Computer Science,Male,Yes,High,No,27.4,2.5,0.879,5.11,3.27,100.0
TR00139,2015,2015,Dokuz Eylul University,Izmir,Business,Female,no, Middle,No,12.7,2.8,0.794,7.63,2.78,85.5
TR00140,2015,2018,Bilkent University,Trabzon,Engineering,Female,Yes,Middle,Yes,7.7,3.5,0.826,NA,2.24,62.2
TR00141,2017,2021,Gazi University,Izmir,Computer Science,Female,Yes,High,Yes,17.8,2.7,0.79,6.2,3.6,95.1
TR00142,2015,2015,Hacettepe University,Mersin,Law,Male,No,Middle,No,22.6,4.7,0.8,6.49,2.53,91.7
TR00143,2015,2018,METU,Ankara,Statistics,Female,Yes,Low,Yes,21.4,4.6,0.676,5.81,1.43,82.9
TR00144,2015,2016,METU,Mersin,Medicine,Female,Yes,Middle,NA,36.5,4.9,0.852,7.14,2.84,100.0
TR00145,2015,2015,ITU,Gaziantep,Law,Female, Yes,Middle,No,15.6,2.9,0.917,6.78,3.33,86.4
TR00146,2021,2021,Ankara University,Adana,Computer Science,Male,Yes,Low,Yes,29.9,4.5,0.728,6.27,2.73,100.0
TR00147,2018,2021,Ankara University,Istanbul,Computer Science,Male,Yes,Low,No,24.5,5.9,0.683,7.31,1.97,93.0
TR00148,2020,2020,Gazi University,Samsun,Law,Female,Yes,Middle,No ,23.6,1.1,0.814,7.09,2.44,97.3
TR00149,2016,2019,Yildiz Technical University,Istanbul,Education,Female,No,Middle,Yes,18.0,2.6,0.891,7.2,2.42,88.7
TR00150,2017,2017,Koc University,Konya,Medicine,Female,No,Low,No,20.5,4.7,0.917,7.06,2.45,100.0
TR00151,2017,2018,Bogazici University,Gaziantep,Computer Science,Female,Yes,Middle,No,16.2,2.0,0.794,7.21,2.65,96.3
TR00152,2016,2020,Bogazici University,Antalya ,Computer Science#,Male,No,High,No,16.8,2.2,0.856,7.19,3.08,85.7
TR00153,2015,2017,Ege University,Samsun,Psychology,Male,No,Low,No,23.2,2.3,0.869,7.21,2.9,98.7
TR00154,2015,2017,Gazi University,Mersin,Psychology,Female,Yes,Low,No,15.0,0.5,0.959,7.49,2.92,88.3
TR00155,2015,2015,METU,Antalya, Economics,Male,Yes,Middle,No,29.2,3.0,0.716,5.69,3.73,100.0
TR00156,2015,2017,Gazi University,Bursa,Medicine!,Female,No,Low,Yes,25.8,3.9,0.684,6.04,2.99,96.2
TR00157,2017,NA,Gazi University,Diyarbakir,Statistics,Male,No,Middle,No,11.8,2.5,0.659,7.02,2.89,82.8
TR00158,2021,2021,Gazi University ,Adana,Law,Male,Yes,Low,No,16.4,4.6,0.786,7.41,1.86,70.5
TR00159,2019,2020,Ankara University,Diyarbakir,Architecture,Female,Yes ,Middle,No,22.7,2.2,0.925,8.14,2.64,100.0
TR00160,2016,2017,gazi university,Adana,Engineering,Male,No,Middle,Yes,22.9,5.3,0.725,5.95,2.02,84.8
TR00161,2015,2015,Dokuz Eylul University,Izmir,Computer Science,Female,No,Middle,No,15.1,1.8,0.715,NA,2.29,NA
TR00162,2018,2019,Hacettepe University,Kayseri,Education,Female,No,High,No,19.0,0.0,0.838,6.51,3.31,95.4
TR00163,2015,2016,Bogazici University,Samsun,Architecture,Female,No,High!,Yes,22.4,1.3,0.79,7.71,2.72,91.7
TR00164,2020,2021,Ege University,Mersin,Economics,Female,No ,Middle,No,15.6,0.0,0.739,8.6,3.18,83.1
TR00165,2017,2021,Hacettepe University,Diyarbakir,Computer Science,Male,No,Middle,Yes,32.2,4.0,0.73,4.93,3.22,100.0
TR00166,2019,2020,Ege University,Konya,Law,Male,No,Low,Yes,13.8,0.7,0.782,6.61,2.61,74.0
TR00167,2018,2021,ITU,Istanbul,Engineering,Male,Yes,Middle,No,18.4,1.8,0.9,5.11,3.36,100.0
TR00168,2017,2017,Ege Universty,Trabzon,Computer Science,Male,Yes,Low, Yes,9.6,4.3,0.738,5.65,3.14,89.5
TR00169,2015,2015,Bogazici University,Konya,Computer Science,Male,NO,High,Yes,25.3,2.6,0.707,5.23,3.07,100.0
TR00170,2021,2021,Bogazici University,Antalya,Architecture,Female,Yes,Middle,No,22.5,1.3,0.99,7.36,3.13,100.0
TR00171,2021,2021,Gazi University,Antalya,Business,Female,No,Middle,No,14.5,0.0,0.798,7.45,3.03,90.8
TR00172,2016,2016,Istanbul University,Diyarbakir,Medicine,Female,No,Low,yes,16.6,6.2,0.79,7.43,1.92,78.3
TR00173,2015,2016,ITU,Trabzon,Enginering,Male,No,Middle,No,20.1,4.0,0.872,7.42,2.77,96.6
TR00174,2016,2018,Dokuz Eylul University,Ankara,Business,Male,No,HIGH,No,30.5,4.3,0.677,7.01,2.96,100.0
TR00175,2019,2019, METU,Bursa,Economics,Female, No,Middle,No,5.7,0.6,0.819,7.46,2.44,77.2
TR00176,2015,2017,Bilkent University,Samsun,Education,Male,No,High,No,NA,0.0,0.688,7.1,2.36,59.7
TR00177,2018,2021,Ege University,Adana,Economics,Male,No,Low,No,30.2,3.8,0.81,7.45,3.32,98.9
TR00178,2018,2021,Istanbul University,Eskisehir,Architecture,Male,No,Middle,Yes,26.9,1.7,0.88,6.49,3.03,100.0
TR00179,2015,2015,Gazi University,Mersin,Statistics,Female,Yes,High,No,15.6,3.2,0.76,7.49,2.93,89.8
TR00180,2015,2018,Ankara University,Konya,Computer Science,Female,Yes,Middle,No,23.4,5.2,0.707,4.97,3.45,100.0
TR00181,2017,2019,METU,Mersin,Architecture,Female,No,High ,No,24.4,2.4,0.971,5.87,2.98,100.0
TR00182,2018,2018,Koc University,Antalya,Education,Female,No,Low,Yes,13.0,1.9,0.678,7.68,2.38,87.9
TR00183,2019,2020,Yildiz Technical University,Kayseri,Law,Female,No,Low,No,30.7,NA,0.7,6.08,3.38,100.0
TR00184,2016,2019,ISTANBUL UNIVERSITY,Izmir,engineering,Male,No,High,No,25.6,0.0,0.95,5.65,2.37,99.2
TR00185,2019,2021,Ankara University,Istanbul,Business,Female,No,Low,Yes,21.2,3.6,0.675,7.17,2.67,87.6
TR00186,2019,2021,ITU,Bursa,Law,Male ,No,High,Yes,18.5,3.5,0.902,6.74,2.6,87.0
TR00187,2019,2019,Koc University,Kayseri,Psychology,Male,Yes,high,No,5.4,1.9,0.862,7.05,2.93,70.3
TR00188,2018,2021,Gazi University,Bursa ,Business,Male,No,low,No,10.2,0.0,0.923,8.44,2.94,87.5
TR00189,2015,2017,METU ,Ankara,Psychology,Female,No,Middle, Yes,7.9,1.1,0.785,NA,2.93,NA
TR00190,2017,2019,METU,Eskisehir,Comp. Science,Male,No,Low,Yes,18.1,5.5,0.856,6.6,3.16,98.7
TR00191,2018,2018,METU ,Diyarbakir,Engineering,Male,No,Middle,No,35.7,1.9,0.747,7.05,2.84,100.0
TR00192,2015,2019,ITU,Diyarbakir,Statistics,Female,Yes,Low,No,22.8,4.9,0.791,5.07,2.68,100.0
TR00193,2018,2021,Koc University,Antalya,Law,Female,Yes,Low,Yes,16.8,2.5,0.621,7.66,2.79,87.1
TR00194,2015,2017,Ege University,Izmir,Economics ,Male,No,Middle,No,25.2,2.7,0.898,5.91,3.37,100.0
TR00195,2015,2017,Yildiz Technical University,Trabzon,Computer Science,Female,No,MIDDLE,no,13.1,1.9,0.854,5.99,2.13,77.4
TR00196,2016,2020,Dokuz Eylul University,Samsun,Engineering,Female,Yes,High,No,21.1,2.7,0.759,5.48,3.01,90.2
TR00197,2015,2018,ITU,Trabzon,Computer Science,Female,Yes,High ,No,NA,3.1,0.7,5.5,2.63,96.5
TR00198,2015,2016,Bilkent University,Kayseri,Business,Female,No,Middle,No,17.8,0.0,0.843,7.87,2.87,95.4
TR00199,2015,2016,Yildiz Technical University,Bursa ,Business,Male,Yes,Middle,No,20.8,1.6,0.974,7.42,2.87,98.0
TR00200,2018,2019,Bogazici University, Adana,Architecture,Female!,No!,High,No,NA,0.0,0.809,6.19,2.62,100.0
TR00201,2017,2020,Gazi University,Ankara,LAW,Male,No,Middle,Yes,19.9,0.8,0.717,7.38,2.26,88.1
TR00202,2015,2015,ITU ,Adana,Medicine,Male,No,Middle!,Yes,22.8,4.4,0.695,6.13,2.6,97.7
TR00203,2015,2019,Ankara University,Izmir,Business,Male,Yes,High,No,18.5,2.8,0.94,7.24,3.21,90.8
TR00204,2019,2020,Yildiz Technical University,Samsun,Architecture,Male,No,Middle,Yes,14.0,2.8,0.708,6.49,2.35,68.5
TR00205,2018,2018,Bilkent University,Samsun,Engineering,Male,No,Middle,Yes,24.2,0.6,0.74,6.47,3.31,100.0
TR00206,2017,2018,Bogazici University,Kayseri,Medicine,Female,No!,High,No,26.2,5.0,0.903,6.03,4.0,100.0
TR00207,2016,2018,Ege University,Mersin,Engineering,Male,No,High,Yes,13.5,0.8,0.821,6.28,2.94,78.7
TR00208,2015,2018,Koc Universty,ankara,Engineering,Male,Yes,Middle,Yes,20.4,3.8,0.763,7.11,2.77,97.5
TR00209,2018,2018,ankara university,Samsun,Education,Male,No,Low,Yes,0.7,0.0,0.714,7.83,1.99,47.4
TR00210,2020,2020,yildiz technical university,Samsun,Computer Science,Male,No,Middle,No,31.8,1.4,0.937,6.25,3.23,100.0
TR00211,2020,2020,Gazi University,Kayseri,Economics,Female,Yes,Low,No,23.8,0.7,0.751,5.61,3.44,100.0
TR00212,2017,2017,Koc University,Antalya,Computer Science,Female,No,Middle,No,23.8,2.8,0.803,8.8,3.72,100.0
TR00213,2016,2016,Ankara University,Gaziantep,Economics,Male,Yes,Low,No,7.7,1.9,0.72,7.34,3.14,71.4
TR00214,2020,2021, Bogazici University,Ankara,Architecture,Female,No,High,No,18.2,2.6,0.915,7.24,3.31,91.9
TR00215,2015,2018,Ankara University,Adana,Statistics,Male,Yes,Low,No,20.4,3.0,0.802,5.92,2.92,89.9
TR00216,2015,2015,Koc University#,Izmir,Economics,Female,No,Low,No,15.4,0.0,0.764,8.05,2.14,78.6
TR00217,2019,2021,Hacettepe University,NA,Psychology,Female,No,Middle,No!,8.3,1.7,0.873,8.39,2.68,75.1
